游戏规则：
1.该游戏为2人对战游戏，游戏分别为手牌区和弃牌区，初始每人6点血。
2.开始时双方各发10张手牌，不明牌，其余卡牌扣住（暗牌）本局不能使用。
3.每人每回合出一张牌进行判定。胜者赢掉败者本轮牌，胜者本轮的牌弃牌。
4.比较判定时出现和局则双方判定各扣1血，双方弃牌。
5.每轮败者扣除1点血，血量为0则判负。另一方获得胜利，双方血量为0则平局。

比较判定优先级：
技能＞武艺
战前技能：
判断上一回合的延续BUFF；根据技能条件加减双方武力值；如果存在同位阶技能时，智力高的先判断。
战后技能：
获胜方优先判定；失败方后判定。

游戏阵容：
武将  	势力 	武力 	智力 	类型 	技能
吕布 	群 		九九 	三十 	中 		无
袁绍 	群 		七九 	七六 	前 		望族：对群雄武将必胜
张角 	群 		七一 	九十 	后 		举义：此牌即使被战胜也不会被对方获得，而是直接丢弃手牌
刘协 	群 		三十 	五十 	特/前 	天子：你对非魏国武将必胜，优先判断
貂蝉 	群 		四十 	八十 	特/前 	红颜：对吕布、曹操、关羽必胜，优先判断
颜良 	群 		九二 	六一 	中 		无
文丑 	群 		九三 	六二 	中 		无

刘备 	蜀 		七五 	八六 	前 		昭烈：对蜀国武将必胜
赵云 	蜀 		九五 	七五 	后 		常胜：当你战胜敌方武将时，此牌不丢弃而是回到你的手牌
关羽 	蜀 		九六 	六八 	后 		武圣：当你战胜敌方武将时，明牌继续连战，输了直接销毁
张飞 	蜀 		九八 	三八 	中 		无
马超 	蜀 		九七 	五十 	中 		铁骑：你对战魏国武将时，其武力下降10
黄忠 	蜀 		八九 	七五 	中 		老将：对战时，对方智力下降20
姜维 	蜀 		八五 	八九 	中 		克复：你对智力低于你的魏国武将必胜
诸葛亮 	蜀 		四三 	九九 	中 		神算：你对战非蜀国武将时，改为用智力与对方比拼
法正 	蜀 		七二 	九二 	中 		奇术：你面对智力低于自己的非蜀国武将时，武力上升15

曹操 	魏 		八十 	九四 	前 		奸雄：对魏国武将必胜，同时克制吕布
典韦 	魏 		九七 	五六 	中 		无
许褚 	魏 		九三 	五二 	前 		虎痴：可以和张飞、马超打个平手
司马懿 	魏 		七五 	九七 	中 		代立：你对除曹操外的魏国武将必胜
郭嘉 	魏 		四十 	九四 	后 		遗计：对战失败后，下一回合魏国牌武力值上升20
张辽 	魏 		九三 	八九 	中 		威震：你对智力低于你的吴国武将必胜
夏侯渊 	魏 		九一 	七十 	特/前 	神射：无视对方技能，优先判断

孙权 	吴 		七十 	八五 	前 		鼎峙：对吴国武将必胜
周瑜 	吴 		八二 	九八 	后 		火神：当你战胜对方时，对方随机丢弃一张手牌
陆逊 	吴 		八八 	九三 	中 		摧营：你对智力低于自己的蜀国武将必胜
鲁肃 	吴 		六二 	九一 	前 		结盟：你面对蜀国和吴国武将均视为战平，双方丢弃
周泰 	吴 		九二 	六十 	后 		虎臣：当你战败后，随机抽取一张弃牌堆里的吴国牌
甘宁 	吴 		九四 	七五 	中 		劫营：你对智力低于你的魏国武将必胜
太史慈 	吴 		九七 	五九 	中 		无
